city_code,city_name,department_code
1,Cáceres,1
2,Caucasia,1
3,El bagre,1
4,Nechí,1
5,Tarazá,1
6,Zaragoza,1
7,Caracolí,1
8,Maceo,1
9,Puerto berrío,1
10,Puerto nare,1
11,Puerto triunfo,1
12,Yondó,1
13,Amalfi,1
14,Anorí,1
15,Cisneros,1
16,Remedios,1
17,San roque,1
18,Santo domingo,1
19,Segovia,1
20,Vegachí,1
21,Yalí,1
22,Yolombó,1
23,Angostura,1
24,Belmira,1
25,Briceño,1
26,Campamento,1
27,Carolina del príncipe,1
28,Donmatías,1
29,Entrerríos,1
30,Gómez plata,1
31,Guadalupe,1
32,Ituango,1
33,San andrés de cuerquia,1
34,San josé de la montaña,1
35,San pedro de los milagros,1
36,Santa rosa de osos,1
37,Toledo,1
38,Valdivia,1
39,Yarumal,1
40,Abriaquí,1
41,Antioquia,1
42,Anzá,1
43,Armenia,1
44,Buriticá,1
45,Caicedo,1
46,Cañasgordas,1
47,Dabeiba,1
48,Ebéjico,1
49,Frontino,1
50,Giraldo,1
51,Heliconia,1
52,Liborina,1
53,Olaya,1
54,Peque,1
55,Sabanalarga,1
56,San jerónimo,1
57,Sopetrán,1
58,Uramita,1
59,Abejorral,1
60,Alejandría,1
61,Argelia,1
62,Carmen de viboral,1
63,Cocorná,1
64,Concepción,1
65,El peñol,1
66,El retiro,1
67,El santuario,1
68,Granada,1
69,Guarne,1
70,Guatapé,1
71,La ceja,1
72,La unión,1
73,Marinilla,1
74,Nariño,1
75,Rionegro,1
76,San carlos,1
77,San francisco,1
78,San luis,1
79,San rafael,1
80,San vicente,1
81,Sonsón,1
82,Amagá,1
83,Andes,1
84,Angelópolis,1
85,Betania,1
86,Betulia,1
87,Caramanta,1
88,Ciudad bolívar,1
89,Concordia,1
90,Fredonia,1
91,Hispania,1
92,Jardín,1
93,Jericó,1
94,La pintada,1
95,Montebello,1
96,Pueblorrico,1
97,Salgar,1
98,Santa bárbara,1
99,Támesis,1
100,Tarso,1
101,Titiribí,1
102,Urrao,1
103,Valparaíso,1
